10 5.96537e-06
12.0226 8.18667e-06
14.4544 1.12802e-05
17.378 1.53892e-05
20.893 2.04446e-05
25.1189 2.60238e-05
30.1995 3.13537e-05
36.3078 3.55592e-05
43.6516 3.80756e-05
52.4807 3.89384e-05
63.0957 3.8588e-05
75.8578 3.73342e-05
91.2011 3.51913e-05
109.648 3.21653e-05
131.826 2.84487e-05
158.489 2.43543e-05
190.546 2.01858e-05
229.087 1.61818e-05
275.423 1.25307e-05
331.131 9.38908e-06
398.107 6.84668e-06
478.63 4.89325e-06
575.44 3.44486e-06
691.831 2.39444e-06
831.764 1.64381e-06
1000 1.11345e-06
1202.26 7.42824e-07
1445.44 4.87228e-07
1737.8 3.13807e-07
2089.3 1.98211e-07
2511.89 1.22733e-07
3019.95 7.45371e-08
3630.78 4.44068e-08
4365.16 2.59857e-08
5248.07 1.49762e-08
6309.57 8.5265e-09
7585.78 4.80805e-09
9120.11 2.69139e-09
10964.8 1.49819e-09
13182.6 8.30456e-10
15848.9 4.58825e-10
19054.6 2.52807e-10
22908.7 1.38943e-10
27542.3 7.61649e-11
33113.1 4.16124e-11
39810.7 2.2624e-11
47863 1.22185e-11
57544 6.54713e-12
69183.1 3.48012e-12
83176.4 1.83644e-12
100000 9.63304e-13
120226 5.0304e-13
